INJ_BODY_PART,NARRATIVE
BACK,Injured employee installing rib bolts Right section As repositioned bolter installing bolt piece rock measuring long thick fell roof struck upper back resulting strained bruised back
FINGER(S),Weather conditions cold raining Employee splicing deenergized dewatering pump cable Cable stripper slipped cable cutting glove cutting end left index finger
BACK,EE reported strained back previous day EE stated know definitively caused discomfort Physican prescribed antiinflammatory medication rest
FINGER(S),Employee using impact pun remove nuts studs vessel piping Stud spun gun backed pinning Rt thumb gun bolt flange Resulting small cuts thumb swelling EE iced returned work EE sought medical treatment Xray showed non displaced fracture Restricted duty
KNEE,While unloading batteries flat car EE lifted battery turning around strained knee On I notified EE going surgery right knee become lost time injury
BACK,Climbing ladder enter cab haul truck foot slipped rung
FINGER(S),While attempting remove link pin drag chain employees finger smashed inbetween chain link pin chain housing
FINGER(S),While walking parking spot mill offices employee slipped fell
FINGER(S),Employee attempting open pump hose belt knife accidently cut left thumb Medical Treatment
KNEE,Injured employee cutting piece belt utility knife slipped striking right leg This resulted laceration
KNEE,While walking get bolts supply bolter employee stepped hole twisting knee This accident reported us go Doctor He remaind work He currently working light duty surface
FINGER(S),Injured loading beams finger got caught beam smashed tip It required stitches Injured Contractor works Mach supervision
FINGER(S),Hearing screams help looked saw coworker fire Ran ground level began snuffing flames gloved hands grabbed victims coat snuffed flames Took gloves process result fingers thumb left hand received burns melted polyester stuck
BACK,Employee administration building copy room dropped pen The employee bent waist knees twisting side pick pen felt pain lower back
BACK,The man stacking miner cable crosscut reported feeling pain back The man continued work regular duties went restricted duty
SHOULDER,Employee attempting fuel haul truck pulled fast fuel hose trying make lock jerked towards reel pulling shoulder area She reported shoulder hurt hours later taken ER diagnosed cervical strain taken work Currently ONGOING
KNEE,Employee turned around backwards look bottom rollers left leg slipped underneath twisted right knee Lost time reportable injury due surgery
FINGER(S),While working crushing plant employees finger crushed rock railing
BACK,Employee stated walking truck ramp slipped fell ice
SHOULDER,Employee pulling flatbed trailer dislocated shoulder
BACK,Employee mantrip stuck another mantrip causing severe jarring occupant resulting back strain
SHOULDER,While roof bolting inserting sections drill steel hole drilled He felt sharp pain right shoulder He continued work full time without restrictions determined surgery would needed repair small tear rotator cuff
SHOULDER,Employee stated experiencing bilateral CTS symptoms Left Shoulder pain felt work related Employee evaluated Yampa Works based new WC guidelines cumulativerepetitive trauma claim accepted OI claim Employee surgery left shoulder wrist He surgery right wrist weeks
KNEE,Injured jumped approximately ground twisting right knee
FINGER(S),miner splicing water line continuous miner hand slipped hit steel clamp causing cut right ring finger Miner went ER received stitches injury
EYE(S),Employees routine crack repair point got metal debris left eye Unknown debris actually entered eye
SHOULDER,Employee tripped pallet walking backwards He strained right shoulder
FINGER(S),Employee pulling track pad dozer His hand caught master pad weights His right index finger broken
BACK,EE stated pulled muscle lower right side back picking rib bolts placing top water tank South Section
MULTIPLE,While kneeling working miner piece coal rib rolled striking back right shoulder He continued work full time without restrictions doctor put therapy injections He started missing work
KNEE,EE board Mac mantrip proceeded slope hundred feet Mac lost brakes The mantrip traveled approximately feet driven mine wall struck steel set supports EE scheduled MRI knee
MULTIPLE,He walking security building A cat doorway tripped cat fell onto chair twisted left side ribs pain neck
BACK,Employee stepping back away work table tripped electrical cords tools using falling backwards drain flange Tank Employee seek medical help till January
BACK,He climbing steps belt cross slipped one step fell backwards struck pipe coupler location He diagnosed contusion back
KNEE,Employee splitting stone piece stone slipped hit right leg causing sprain right knee
BACK,Employee walking assigned equipment attended preshift toolbox session instructions slipped icy conditions parking area fell back
HAND,The employee using Bit Puller remove bit continuous miner As struck puller piece hammer broke imbedding hand
EYE(S),EE walking revolving frame coworker grinding nearby EE felt something blow right eye
EYE(S),Was grinding apron feeder throat The wind blowing causing medal get around face shield glasses got particle eye
FINGER(S),Handling portable M Wilden Water Pump Employee caught right little pinky finger pump tractor seat causing fracture finger
FINGER(S),Employee sliding tube onto rod truck finger smashed tube rod truck resulting minor fracture tip finger torn fingernail
HAND,Employee working classifier B trying move bound part hand slipped collided classifier housing area worn sharp edge Employees right hand grazed sharp edge causing laceration base right thumb required sutures
BACK,The employee mantrip going hill BK The mantrip made way drive line came causing mantrip go backwards hill stopping suddenly striking rib
KNEE,Checking levels oil tank step tank pad apporx inches twisted knee
FINGER(S),Two employees moving steel Ibeams one smashed tip right ring finger
FINGER(S),Mechanic looking air blower One four air diffusers fallen machanic moved hand across diffusers finger came contact fan blade diffuser missing
FINGER(S),Employee building stopping concrete block fell right thumb His thumb required sutures
ANKLE,While exiting service truck service man missed bottom step causing right foot land ground His right ankle sprained
FINGER(S),Employee placing banding counterweight spool pump station Wrench slipped allowing banding slip laceration left thumb index finger right thumb Employee required three stitches making reportable
SHOULDER,Employee walking around back personal truck retrieve tool slipped ice causing slipfall ground causing injury bruise right shoulder area
HAND,Miner chiseling large piece limestone using lb hammer He missed chisel hit left hand thumb area forced left side hand stone fracturing th metacarpal
MULTIPLE,EE sitting meeting stood became lightheaded passed due nonoccupational illness
KNEE,The employees foot caught supply car causing fall strain knee The employee began missing work
MULTIPLE,Employee working left side desk Employee turned stood started walk toward right tripped bottom desk drawer The drawer closed doesnt latch properly sometimes comes back open
MULTIPLE,EE went close gate slipped pulling handle fell feet belt feet floor
SHOULDER,Employee stepping foot high platform tripped hose Employee landed floor striking left knee left hip left shoulder The employee diagnosed tear labrum partial rotator cuff injury
FINGER(S),Contractor Employee C moving refractory bricks manway inside calciner second Contractor Employee C accidentally dropped tweeter pipe Cs right hand C taken Beaufort County Hospital xrays showed C fractured index finger
BACK,Injured turning scoop speed reducer felt pain back
KNEE,Emp unloading air boat trailer water To get boat start turning away bank emp push boat using back legs get boat start turning Emp felt back right knee strainEmptaken Work Comp doctor restrictions given
ANKLE,EE working constructing cribs top canopy When jumped get canopy thought turned ankle however xrayed ER showed fractured
EYE(S),Employee pulling rock continuous miner scoop nylon strap The strap failed slipped recoiled back striking right eye causing laceration closed sutures
FINGER(S),Employee preparing maintenance miner While placing cribs miner cat miner fell resulting amputation multiple fingers right hand
KNEE,Employee loading belt structure onto skid surface While holding top roller employee turned slipped ice twisted left knee The employee continued work went doctor
KNEE,As EE repairing roof warehouse strained R knee This become recordable injury went doctors January Until time working normally
FINGER(S),Employee moving forks inward low trac unload supplys employee got right little finger frame mast top fork cutting finger required stitches
ANKLE,Employee slipped fall walking power center Employee slipped corner inby power center used hands place roof keep falling Did feel pain next day
FINGER(S),Employee trying get cable hook The operator miner moving miner watching whisker close rib aware employee trying get cable hook Employees glove caught Alpine hook pulled finger The cable lot tension mashed tip left ring finger
ANKLE,Employee reported AM stepped rock twisted right ankle Refused treatment time didnt think hurt bad On AM stated ankle still sore hurt Advised employee xrays immediately seek treatment No witnesses accident
FINGER(S),Employee knocking broke bit ripper head struck thumb sledge hammer The hammer slipped hand causing strike thumb resulting stitches
KNEE,During process loading tires one trailer another employee struck leg rolling tire crossing path Employee sustained hyperextension spraincontusion left knee
SHOULDER,While putting box resin roof bolter tray piece roof rock fell struck man shoulder The man continued work regular job duties time reported work
ANKLE,Miner turnedsprained ankle installing screen Miner report incident Monday May Miner stated felt OK May May foot begin swell Saturday May sought medical treatment weekend received gel splint help immobilize foot Miner released back full duty day
SHOULDER,Employee slipped climbing ladder fell onto shoulder
MULTIPLE,While loaded ES shovel shovel bucket struck forward portion bed truck The force jolted EE forward felt discomfort afterward Pain stiffening became prevelant taken nurses station evaluation Then seen Doctor
FINGER(S),Using tandem dump truck large cobblestone stuck tailgate allowing shut I grabbed side tailgate swung open dislodging stone I attempted let go tailgate let swing shut however weight tailgate caused swing fast catching hand smashing finger latch
FINGER(S),Employee adjusting forks Lotrac When slid fork fork fell catching finger fork flat car resulting fracture
KNEE,Employee installing cable bolts stepped machine stepped hole front Roof bolter twisting knee
BACK,Employee pulling ventilation curtain covered mud located crosscut last open break MMU He felt pain lower back
SHOULDER,EE using prybar separate steel beam partially cut two oxygen acetylene torch When prying bar felt pain left shoulder This foreman taken work
ANKLE,EE coming loading hydrate stepped sidewalk ground He land level ground rolled right ankle
KNEE,This reoccurrence treatment old injury There new incidentinjury event Original MSHA closed EE successfully petitioned Workers Comp claim reopened JUN receiving medical treatment original injury
ANKLE,Miner opened hood water truck stepped onto right foot rolled ankle All weight went side ankle resulting ankle sprain
BACK,Employee States picking tram motor little mac man trip felt pain lower back
KNEE,Employee missed last step stairway landed right knee Continued experience pain routine medical examination found minor tear meniscus Outpatient surgery Returned full duty
BACK,A tech LL fusion Oct work relatedreturned Mar On felt back pain pulling fuel hoseWas diagnosed wdegeneration surgery neededPain continued next several months unable report work due back pain
FINGER(S),Reinstalling window rubber moulding knife slipped cut right index finger
MULTIPLE,Employee started fire ground burn garbage returned fire second bunch papers He removed OFF second bunch saw blue paint already fire He turned away blue paint exploded hot paint sent air burning employees arms right side face right ear lower part left leg little spot chest back
FINGER(S),Abrasion right thumb drilling inch diameter rock piece flew wall feet away
BACK,A small lump coal fell fixed belt portable coal crusher struck ee startling He reacted twisting away machine He felt pain lower back He chose seek medical treatment working light duty rok On Sat wake pain sought medical attention
BACK,Employee lifting drill steel hole pulled muscle back Proper lifting practices probably would prevented accident Impairment ee work days unable lift objects
FINGER(S),Employee open passenger door process closing door obstruction occur Reached right hand move obstruction closed door right middle finger Broke bone tip employees finger
ANKLE,The employee suffered reported injury Saturday April scheduled work TH April The employee walking back section unloading block injured employee stepped wooden board covered rock dust obscured vision hazard The employee felt pain right ankle
SHOULDER,On bagging line bag pushed loading spout began spilling The operator reached left push e stop strained shoulder On February employee sought medical treatment put restricted duty
KNEE,Employee alleges stepped rut causing twist right knee Filed protest due part audit
KNEE,Injured hanging fly pad back slipped twisted right knee causing bruising swelling
FINGER(S),EE trying straighten bolt bearing bearing slipped smashed left ring finger Injury required stitches broke tip finger
MULTIPLE,Employee helping install pressure gauge aqua pipe pipe cracked busted knocked employee ground causing multiple injuries including laceration head
SHOULDER,While closing steam valve pipe wrench sitting position using pulling motion strained left shoulder
MULTIPLE,EE getting haul truck loaded large rock hit bed truck jarring back sending pain tingling left leg
BACK,Employee injured back struck pallet plywood forklift tailswing bumped stack opposite side Soreness symptom Internal First Aid report submitted Returned work next scheduled day Nearly two months later saw doctor soreness back Occupational doctor released employee work lifting bending restrictions
MULTIPLE,Employee fixing back board belt drive slipped striking left side corner belt drive
EYE(S),The injuried using grinder smooth rough edges shaft several small pieces metal came flew safety glasses got lodged right eye lid
BACK,Employee strained back jackhammering
BACK,Employee dismounting grader back began bother Employee slip anything would led injury He several events given reoccurring back pain throughout career He received care back within previous months When back pain began revisited chiropractor received treatment
FINGER(S),While building wall employee broke last band holding pallet cement blocks together The blocks fell scoop bucket right hand laying breaking ring finger
FINGER(S),EE drilling beetle drill He moved pipe wrench holding position around break steel power head smashing finger wrench tracks drill
FINGER(S),Employee using prybar rock bar slipped causing laceration thumb resulting stitches
FINGER(S),Changing screens crusher got right hand caught edge screen causing gash outside little finger
FINGER(S),Cutting plate torch block plate kicked letting plate strike right middle finger took nail
FINGER(S),EE installing lip shroud dragline bucket shrouds already installed The shroud hanging boom truck ee fitting shroud place The shroud slipped bucket lip pinched finger bucket lip shroud cribbing holding bucket He taken local ER treatment
BACK,The technician slipped fell ice landing tailbone exiting light vehicle He reported event supervisor time continued normal duties On April diagnosed compression fracture L complaining soreness area
SHOULDER,Employee resetting cone crusher sledge hammer experienced pain right shoulder NOTE PER MSHA INSPECTOR A WAS NOT NEEDED AT THE TIME OF HIS FIRST DOCTOR VISIT OF THE EMPLOYEE HAS SINCE BEEN PUT ON RESTRICTIONS STARTING
SHOULDER,While process installing permanent roof support employee placed roof bolt drill pot bolt twisted causing strain left shoulder ER physician place employee work
FINGER(S),Took bolt lid brace conveyor When bolt came brace snapped back cut finger
FINGER(S),Emplloyee removing cage dust collector cage fell employees left hand
FINGER(S),Throwing cat head belt drive belt line He got left index finger caught cat head mine roof throwing across belt It took stitches left index finger He returned work next day
SHOULDER,Employee helping perform maintenance conveyor belt He put tools service truck returning get tools return tool room As returning conveyor slipped fell Employee report incident next day
ANKLE,Employee walking entry fix curtain stepped hole causing twist ankle
BACK,While running wire conduit workers legs gave sharp pain lower back area
SHOULDER,Employee operating continuous miner day Near end shift experienced pain shoulder limited movement shoulder
MULTIPLE,He operating supply motor track derailed caused hit mine roof face shoulder Diagnosed cuts contusions He working restricted duty status
BACK,Employee loading bottom stands Two stands stuck together pulled apart started lifting stand felt pain lower back
ANKLE,A piece coal struck employee ankle Medical sought fracture told ankle would get better full release Ankle getting better appointment scheduled orthopedic DR appointment minor reaggravation Feb attended scheduled appointment became LTA soft tissue injury Late reporting due medical records gathering
ANKLE,Employee assigned tie reno mattresses together drain In process job stepped rock twisted left ankle
FINGER(S),swinging sledgehammer open gate noticed blood thumb
KNEE,Employee callout working contractors repair process water line feeding mill Employee dismounted front end loader felt knee pop stepped
FINGER(S),Employee trouble shooting brake problem scraper Mechanic found hose seemed leaking air He loosened line slightly try reseat line line popped hydraulic fluid punctured right middle finger
FINGER(S),EE got finger cut edge pipe operators performing maint dredge The injured finger right little finger pinky Operator wearing PP E time including gloves EE taken hospital immediately doctors determine damage
ANKLE,Employee attempting mount ladder CAT B haul truck His right hand grabbed hold rail grease As shifted weight ladder hand slipped fell ladder His weight came left footankle
FINGER(S),Employee using pry bar lift steel plate remove rock stuck behind plate His hand slid bar pinched right hand plate rock removing
MULTIPLE,EE standing ground left motor grader using tripod level Grader EE backed The operator motor grader backing looking right realize EE backed He turned wheels sharp right front tire struck EE
BACK,Employee picking rock felt pain back extended leg He wanted go home rest finally agree go Dr
ANKLE,Slipped ice twisted ankle
MULTIPLE,employee cutting incline conveyor torch Slag fell onto torch hoses causing catch fire Employee burned stomach palmthumb right hand
ANKLE,When mantrip employee riding became struck employee exited mantrip get help get push stepped rut felt ankle pop
KNEE,Climbing ladder water truck slipped hurt left knee
SHOULDER,Employee claims right shoulder sore overuse Has tire man years Being treated physical therapy cortisone shots Employee injury We notified Workers Comp accepting claim
FINGER(S),EE removing bolts cutting edge skidsteer impact bolt caught rubber glove pulling finger bolt cutting finger Required stitches EE restrictions Dr able come right back work
SHOULDER,Employee stated attempting release manual brake railcar slipped falling ground catching right arm overextending He initially diagnosed strain small tear later found He underwent surgical repair began missing time
SHOULDER,Employee slipped frozen ground falling right shoulder cleaning tail lights overburden truck
HAND,Injured pinner steel fall strike thumb left hand Injured initially received first aid On injured still discomfort hand went see doctor xrays discovered fracture thumb
HAND,The employee using utility knife cut rubber conveyor belt knife case broke blade got case cutting external side right hand cut EE got stitches hospital returned modified duty day
FINGER(S),He putting V belt shive rocked thumb got pinched
SHOULDER,Shoveling pieces slate rock When picked throw back belt felt shoulder pop
ANKLE,Twisted right ankle stepped round rock walking track belt entry block D section
HAND,Miner hammering keeper pin place dragline bucket tooth missed pin striking tooth hammer A sliver metal chipped tooth struck miner first second finger left hand It required three stitches close laceration employee released back work restrictions
SHOULDER,The employee stated injured shoulder attempting dodge falling rib roll He stated jumped contacted RBM left shoulder
MULTIPLE,While working remove threaded connection EE felt pain upper backneck area EE using impact tight confined space EE sent mine medical facility evaluation EE sent outside physician date incident EE placed restricted duty
HAND,Employee installing guarding cutting thru guarding knife slipped Injuries resulted laceration hand required sutures
FINGER(S),ee positioning steel plate The plate x X ee side plate positioning piece top structural steel frame work The plate shifted slipped falling structural steel The inj ee holding plate slipped pinching ring middle finger left hand plate structural steel
FINGER(S),Was pulling pin feeder smashed right middle finger
KNEE,Was crossing bridges fell striking knee pavement Injured returned work worked Now surgery
FINGER(S),Plant Operator moving base stacker conveyor way Loader Operator During maneuver hydraulic hose broke While searching leak either hose connections asked raised pump turned In pressure reinstated hose Hand positioned right hole causing penetration middle finger right hand
BACK,EE hanging miner cable injuried back He taken hospital xrays negative told follow specialist done diagnosed muscle strain
KNEE,Employee slipped bent end dump ladder twisting knee He placed restriction climbing must wear knee brace approximately calendar days per doctors report There evidence acute fracture dislocation joint effusion soft tissue swelling per radiology report
ANKLE,He unloading bags rock dust supply car A miner Section He placing bag onto duster stepped rock turned left ankle
FINGER(S),Employee removing broken trip cable PH shovel As attempted spin cable drum continue spooling cable pinched finger drum guard
FINGER(S),IW changing bit cubex His lanyard hit controls moving skid plate pinching finger Fractured finger Released restricted duty
HAND,While operator replacing backup light bulb truck dropped bulb broke getting back truck put hand broken bulb cut left hand palm
BACK,The employee trying hold one end auger head weight shifted side felt something pull back
FINGER(S),He removing guide cutting manageable pieces hand got caught two pieces timber cut finger
FINGER(S),Employee got index finger caught bit wrench piece stuck pinner steel top He small laceration index finger took sutures close
FINGER(S),EE dropping welder cable hung insulated hooks As EE reached unhooked one hooks hook dug little finger right hand weight cable caused hook penetrate finger resulting stitches close wound
KNEE,The employee attempted climb onto tailings pond conveyor belt felt pain left knee The employee taken local hospital treatment The Xrays negative
BACK,Employee climbing ladder making repairs D Loader ladder slipped underneath causing fall falling made contact tire injured backneck
BACK,Employee stepped mine office felt pain back Employee worked rest day He went doctor He went back doctor taken work notice making first day loss time Monday
FINGER(S),Walking uneven terrain tripped rock path Lacerated fractured left hand index finger
BACK,Member preparing load top structure scoop bucket bent pick structure heard felt pop lower back
HAND,EE tramming miner across section caught roofbolt miner breaking bolt Bolt caught EEs left hand
BACK,Employee shoveling scale rust aluminum fluoride abandoned circulating tank Employee noticed aching back task The employee given restrictions made recordable
BACK,Employee pulling hydroseeder hose feet slipped landed back
SHOULDER,Heavy rain deep mud employee going track hoe slipped steps track hoe caught right hand straining right shoulder
FINGER(S),EE WAS TRAMMING A TRACK MOTOR AND A PIECE OF DRAW ROCK FELL AND BROKE THE LIFE LINE A HOOK FROM A ROPE HANGER ATTACHED TO THE LIFE LINE STRUCK HIM ON THE THUMB RESULTING IN A CUT
SHOULDER,Injured right shoulder installing new screen wire screen
MULTIPLE,Inspecting overhead welding leads see hole deck stepped hole injuring knee straining back
HAND,EE taking break sitting rib head piece coal fell rib hit top right hand
FINGER(S),The scoop operator trying get piece rock continuous miner pullingpushing hands While piece rock slide another rock struck right hand rock rub rail miner His injury fracture little finger ring finger
KNEE,EE tramming continuous mining machine across section stepped hole mine floor twisted right knee
EYE(S),Employee performing maintenance drive system cooler discharge scalping screen The equipment shutdown locked The employee removing lime buildup within guard hand Lime became airborne entered right eye Physician flushed eye gave prescription eye drop dosage requirements
MULTIPLE,EE climbing ladder rock truck lost footing fell ground
BACK,While installing truss bolts injured pushing drill steel hole felt discomfort right shoulder After doctors exam MRI determined injured degenerative conditions require surgery This incident reported occupational illnesss The injured worked toll went surgery
KNEE,Employee standing repairs piece equipment He felt heard pop left knee sharp pain
MULTIPLE,The employee setting seated rear diesel powered mantrip going underground section The mantrip bounced causing employees head contact stationary handrail The incident resulted lost time injures
ANKLE,EE screening coal rock jammed feed belt EE stopped screener He climbed onto feeder He rolled jammed rock Another rock rolled hit left ankle EE wearing hard hat safety glasses steel tip boots gloves
FINGER(S),EE repairing hole brattice The block hole fell struck right hand cut little finger requiring stitches
FINGER(S),Employee taking cutting edge blade cut right index middle finger
FINGER(S),EE co worker replacing Jaw Crusher Maganese Bolt EE using Sledge Hammer bar loosen bolt missed hitting bar hammer motion took hammer steel plate part jaw He still holding hammer handle fingers got caught plate handle
MULTIPLE,Employee working desk office Horn Mt Portal Buchanan Mine At AM started feeling sick left AM She went doctor determined urinary track infection She returned work next scheduled day work
KNEE,Employee cleaning volume box hydrator His right leg slipped left knee buckled causing pain swelling
BACK,Stepped truck put foot hole lost balance hurt lower back
SHOULDER,Individual lifting miner cable strained right shoulder
MULTIPLE,Employee cutting existing fill inside Cell Maggie Creek cooling tower Fill media behind employee collapsed pulling vertical column post employee using tie point causing employee drop approximately basin Multiple fractures
HAND,While employee installing roof bolt piece rock fell hitting pan plate pinching left hand wrench bruising middle index fingers
HAND,Employee hooking stone struck hand
BACK,Employee hauling mud Volvo truck went across ruts road jerked cab truck hurting lower back Employee didnt tell foreman next day go ER going regular doctor came back work left early go back ER back pain
EYE(S),Employee emptying supersack lime hopper Employee cutting bottom bag lime enter right eye Employee wearing goggles glasses however goggles properly fit caused gap temples glasses
FINGER(S),EE left index finger pinned two steel legs another EE unloading steel legs
KNEE,Employee picking piece waterline slipped turned left knee inward
MULTIPLE,Vehicle incident
BACK,Roof bolting operator putting outside bolt first pattern row The coal rib rolled due canopy resting rib operating The rib roll struck operator left side back causing lacerations Entry Width Rib Roll thick wide long Hole Drilled rib
SHOULDER,Employee operating unit number end dump said right shoulder popped He could use right arm went IMED Medical center doctor said pulled tendon place
BACK,Stepped concrete pad MCC building onto snow ice Ankle gave way snow ice EE fell onto ground felt strainpain lower back
HAND,Pulled muscles left hand moving scissor lift
BACK,On EE strained rgt side back hip area installing water line EE declined medical attention time EE reports aggravated injury performing task He worked day Worked sought medical treatment evening emergency room placed work
HAND,Employee attempting change wench Wagner X surface shop As removed last bolt wench slid back smashed left hand wench frame cut hand stitches required close wound EE released return work
KNEE,Twisted knee getting scoopworker thought knee would ok see doctor till Doctors diagnosis sprain knee Therapy help After MRI done tear found meniscus Scheduled surgery
ANKLE,Climbing Powerscreen ladder Port Pond slipped twisted ankle Sent company doctor exam
BACK,Employee assisting changing scoop tire Employee began hitting scoop tire sledge hammer knock loose felt pain lower back
FINGER(S),Employee putting oil continuous miner cut finger oil
FINGER(S),Contractor working mine rock dusting side belt conveyor rock dust machine hose The contractor walking backwards tripped piece belt structure falling hurting thumb Contractor went get medical treatment
KNEE,EE opened door coal dryer refurbished plug welds door hinge failed resulting door falling striking EE left elbow left leg
FINGER(S),Injured pulling water hit finger coupling band causing laceration resulted receiving suture per medical reports
BACK,The employee swinging sledge hammer upward motion loosen bolt caused strain back
BACK,EE carrying coal crusher screen parts trailer stepped something twisted ankle hurt back
BACK,Employee transferring roof bolts scoop bucket roof bolter In rotated body without moving feet holding load roof bolts arms He felt sharp pain lower back He started receiving treatment chiropractor April nd making reportable injury
EYE(S),While walking bent intake employee struck cable bolt plate resulted three sutures right lower eye lid
ANKLE,He carrying roof jack remote location He stepped uneven bottom twisted right ankle The operator disputes allegations set forth citation submits report solely terminate citation
HAND,While putting nd drill steel drill box top steel fell roof hit left hand require sutures
EYE(S),Employee lowered welding hood caused debris fall behind safety glasses entered left eye
FINGER(S),EE cutting plastic tubing razor knife blade cut tubing contacted back part ees left thumb cutting tendon The ee required surgery repair tendon
MULTIPLE,Employee driving long stick tower clean around He started going slight incline He lost control equipment causing run intoand conv
KNEE,Employee getting drill using ladder stepped onto unstable rock causing twist knee
BACK,The bulk grease tank could raised containment approximately foot due configuration pump hoses piping Once height pump could removed allowing grease tank removed containment cleanup proceed The employee bent remove pump felt sharp pain back
KNEE,Employee shoveling loose coal rock felt sharp pain left knee couldnt put weight
EYE(S),Employee noticed leak water line stopped fix Employee tapped line plastic cap fire valve came loose striking face
SHOULDER,EE working mines tipple walking parked truck slipped fell landed left elbow caused separation left shoulder
KNEE,Employee tripped ladder base fell landing right knee cap Initially employee received medical treatment employee received medical treatment restrictions short period time
FINGER(S),Contractor employee using pry bar item prying became dislodged causing left th finger become caught pry bar lifting eye attached motor nearby The contact two objects casued fracture tip finger
KNEE,Crawling knee get irritated swollen crawling twisting Normal working section
ANKLE,EE slipped fell attempting pivot tower hoist resulting fractured ankle
MULTIPLE,Slurry pump North pit became clogged Shut valve work Water pump continued circulate became hot Worker opened valve hit hot water right side chest shoulder neck
KNEE,EE attempting unplug hp flight pump went lift shovel full silt felt sharp pain back shoulder blades EE diagnosed sustained possible pinched nerve
EYE(S),Laborer sprayed solution containing lime slurry water opening ball mill classifier box lower cam gate
SHOULDER,Employee trying pull cable miner felt right shoulder pop starting hurting
HAND,Employee sitting operators seat haul truck As reaching close driver side door gust wind blew door shut struck left hand
EYE(S),Hydraulic hose ruptured yd scoop spraying hydraulic fluid onto employee After review medical information determined employee provided eye drops classified prescription medication Part
FINGER(S),Employee using pry bar log washer smashedjammed finger Sent doctor around reported work told finger hurting
KNEE,EMPLOYEE TWISTED HIS LEFT KNEE WHILE DISMOUNTING FROM THE RAIL KING RAIL CAR MOVER
FINGER(S),Employee going stairs flotation jammed right pinky hand rail bending sideways He went ER referred specialist given restricted duty Currently ONGOING
FINGER(S),Hurt left thumb
BACK,Employee kneeling floor welding base plate sheeting installed As starting stand said felt something pull back
MULTIPLE,Employee sliding lb stone belt table felt pull left shoulder neck Employee instructed work days Employee released full duty Employee report work
KNEE,Employee helping Strata employee close door refuge chamber When pushed door closed right knee popped loudly buckled causing severe pain right knee Note The doctor take employee work
BACK,EE shoveling LF belt twisted put material belt shovel felt pain lower back left leg went numb EE back surgery past symptoms back surgery I ask classified occupational illness past history back
EYE(S),EE operating scoop hauling cable bolts A cable bolt became fouled rib sprang back struck left eye brow
SHOULDER,Employee cleaning windows cab lights rubber tire dozer While cleaning light misstep fell ground
MULTIPLE,EE ladder moving wood wood got caught ladder slipped fell ladder
FINGER(S),EE pushing pipe away vessel two EEs left thumb caught pipe I Beamsmashing Left Thumb
FINGER(S),Taking drill steels apart Holding steel roof left hand steel head right hand Head shifted pinching left thumb steels
FINGER(S),Equipment locked Employee cleaning roller conveyor roller slipped hand The index finger right hand received cut required stitches
FINGER(S),Employee assisting offloading I beam forklift left hand glove caught fork forklift I beam causing laceration left pointer finger Employee received sutures No restricted duty
BACK,The employee manually picking starter jaw Mobile Plant along w additional employees He felt tingly twing lower back set starter immediately The employee seen chiropractor past requested seen chiropractor diagnosis treatment case
BACK,Employee reported stained back replacing anvils CEMCO Model crusher
FINGER(S),Employee caught right index finger staionary sideboard false bottom sideboard causing fracture end finger
MULTIPLE,EE performing checks dust sampling device worn miner operator When walked turn table machine rock meas x x thick fell struck EE left side body resulting chipped distal femur fractured knee tibia fibula multiple lacerations face head
MULTIPLE,While employee checking supplies bolter rock wide long thick fell bolts hitting left side body including head face neck shoulder arm hand
BACK,Back sprain caused repetitive use pound sledge hammer
HAND,EE process reassembling headlight battery powered wheeler hand slipped striking sharp piece metal causing laceration required sutures close
BACK,Employee floor board D Dozer looking oil leak raised felt sharp stab lower back He taken ER Pineville seeing regular Dr today
BACK,Stepping manlift EE said felt pulled muscle able shake This reported supervisor didnt realize injury bad
BACK,Employee reported back pain result airride suspension seats air compressor functioning full capacity Employee woke following day experiencing intensified pain report work He received medical attention following day returned work
MULTIPLE,EE stated attempting take measurement replace section pipe injured placed hand pipe causing pipe fall striking EE back rt ankle This lost time
FINGER(S),The following contributed injury The weight inspection door limited working room due line lack help second employee position employees hand pushed inspection door back original position The employee suffered avulsion soft tissue tip right index finger
FINGER(S),Employee cutting plastic binding filter cloths slipped cutting left index finger
KNEE,Roof bolter operator hit knee small rock fell potted area bolting
ANKLE,The employee walking conveyor slipped causing left ankle receive full weight causing pain The result chipped bone left ankle
SHOULDER,Hooking safety chains rock dust tanks felt pain left shoulder Started missing work
FINGER(S),Employee struck right hand pinky finger disposing old cable floaters
MULTIPLE,Employee says previous shift slipped trying hold ladder hurt right arm Employee says feel pain present shift Employee states came work put presses began feel pain right arm NOTE injury become recordable due restrictions
EYE(S),While ripping stockpile right front tire front end loader blew bending fender right side loader breaking right hand door cab loader The glass door air tire got eye loader operator
HAND,The employees left hand got smashed went remove rock tailgate tailgate smashed left hand resulting fracture finger He issued restrictions able accommodate
EYE(S),Employee standing longwall shield cleaning rocks walkway emulsion hose ruptured striking right leg right arm right side face including eye
SHOULDER,On employee reported supervisor accident Employee stated fell hand rail trying loosen bin indicator toolcheater bar Employee stated injured right shoulder fell handrail Accident investigation time insurance carrier
EYE(S),Welding dozer blade laying welders arc went back helmet resulting welding flash eyes
HAND,Employee burning bolt A piece hot metal caused nd degree burn palm hand
FINGER(S),Man installing roof bolt drilling hole got pointer finger right hand caught wrench washer bolt missed hole put pressure bolt roof
